"","NTD.ID","Agency.Name","Reporter.Type","Reporting.Module","Mode","TOS","Bio.Diesel","Bunker.Fuel","C.Natural.Gas","Diesel.Fuel","Electric.Battery","Electric.Propulsion","Ethanol","Methonal","Gasoline","Hydrogen","Kerosene","Liquified.Nat.Gas","Liquified.Petroleum.Gas","Renewable.Diesel","Passenger.Paid.Fares","Organization.Paid.Fares","Total.Fares"
"5290",80224,"Phillips Transit Authority","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5291",80224,"Phillips Transit Authority","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14165,0,14165
"5292",80225,"City of La Junta","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5293",80225,"City of La Junta","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11931,0,11931
"5294",80227,"Huerfano/Las Animas Area Council of Governments","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5295",80227,"Huerfano/Las Animas Area Council of Governments","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5296",80228,"Kidder-Emmons County Senior Services","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5297",80228,"Kidder-Emmons County Senior Services","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4220,40,4260
"5298",80233,"Cavalier County Senior Meals & Services","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5299",80233,"Cavalier County Senior Meals & Services","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11696,2764,14460
"5300",80235,"Human Resource Development Council District IX, Inc.","Reduced Reporter","Urban","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5301",80235,"Human Resource Development Council District IX, Inc.","Reduced Reporter","Urban","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6715,0,6715
"5302",80235,"Human Resource Development Council District IX, Inc.","Reduced Reporter","Urban","MB","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5303",80235,"Human Resource Development Council District IX, Inc.","Reduced Reporter","Urban","MB","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5304",80236,"Fergus County Council on Aging","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5305",80236,"Fergus County Council on Aging","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8758,22861,31619
"5306",80237,"Neighbor to Neighbor Volunteers","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5307",80237,"Neighbor to Neighbor Volunteers","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6879,293811,300690
"5308",80238,"West River Transit","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5309",80238,"West River Transit","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,83281,1820,85101
"5310",80248,"Cedar City","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5311",80248,"Cedar City","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10666,2479,13145
"5312",80248,"Cedar City","Rural Reporter","Rural","MB","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5313",80248,"Cedar City","Rural Reporter","Rural","MB","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11555,609,12164
"5314",80249,"Benson County Transportation","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5315",80249,"Benson County Transportation","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,3690,3888
"5316",80252,"Eppson Center for Seniors","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5317",80252,"Eppson Center for Seniors","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4488,658,5146
"5318",80253,"West River Transit Authority, Inc.","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5319",80253,"West River Transit Authority, Inc.","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,47590,41580,89170
"5320",80254,"Glen-wood, Inc.","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5321",80254,"Glen-wood, Inc.","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18933,1426,20359
"5322",80255,"Big Sky Transportation District","Rural Reporter","Rural","DR","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5323",80255,"Big Sky Transportation District","Rural Reporter","Rural","DR","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5324",80255,"Big Sky Transportation District","Rural Reporter","Rural","MB","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
